pill_id,is_cracked,weight,color,workflow_decision
P001,false,0.06,blue,ACCEPT
P002,false,0.15,blue,ACCEPT
P003,false,0.66,black,DISCARD
P004,false,0.66,blue,DISCARD
P005,false,0.64,blue,DISCARD
P006,false,0.29,red,ACCEPT
P007,false,0.63,pink,DISCARD
P008,false,0.53,blue,DISCARD
P009,false,0.33,black,ACCEPT
P010,false,0.86,blue,ACCEPT
P011,false,0.44,blue,ACCEPT
P012,false,0.36,blue,ACCEPT
P013,false,0.07,blue,ACCEPT
P014,false,0.62,blue,DISCARD
P015,false,0.55,blue,DISCARD
P016,false,0.37,blue,ACCEPT
P017,false,0.77,blue,DISCARD
P018,false,0.35,blue,ACCEPT
P019,false,0.71,black,DISCARD
P020,false,0.18,black,ACCEPT
P021,false,0.07,blue,ACCEPT
P022,false,0.87,pink,ACCEPT
P023,false,0.31,blue,ACCEPT
P024,false,0.20,black,ACCEPT
P025,false,0.43,pink,ACCEPT
P026,false,0.32,blue,ACCEPT
P027,false,0.43,red,ACCEPT
P028,false,0.55,blue,DISCARD
P029,false,0.53,yellow,DISCARD
P030,false,0.18,blue,ACCEPT
P031,false,0.50,blue,ACCEPT
P032,false,0.60,blue,DISCARD
P033,false,0.93,blue,ACCEPT
P034,false,0.16,blue,ACCEPT
P035,false,0.34,blue,ACCEPT
P036,false,0.22,blue,ACCEPT
P037,false,0.42,white,ACCEPT
P038,false,0.54,blue,DISCARD
P039,false,0.68,blue,DISCARD
P040,false,0.83,blue,ACCEPT
P041,false,0.11,blue,ACCEPT
P042,false,0.53,red,DISCARD
P043,false,0.19,blue,ACCEPT
P044,false,0.85,blue,ACCEPT
P045,false,0.69,blue,DISCARD
P046,false,0.67,blue,DISCARD
P047,false,0.64,blue,DISCARD
P048,false,0.92,white,ACCEPT
P049,true,0.21,blue,ACCEPT
P050,false,0.51,blue,DISCARD
P051,false,0.28,white,ACCEPT
P052,false,0.76,white,DISCARD
P053,false,0.61,blue,DISCARD
P054,false,0.28,blue,ACCEPT
P055,false,0.38,blue,ACCEPT
P056,false,0.20,blue,ACCEPT
P057,false,0.22,white,ACCEPT
P058,false,0.74,white,DISCARD
P059,false,0.44,blue,ACCEPT
P060,false,0.93,white,ACCEPT
P061,false,0.65,blue,DISCARD
P062,false,0.46,blue,ACCEPT
P063,false,0.32,pink,ACCEPT
P064,false,0.49,blue,ACCEPT
P065,false,0.39,blue,ACCEPT
P066,false,0.20,blue,ACCEPT
P067,false,0.58,red,DISCARD
P068,false,0.46,blue,ACCEPT
P069,false,0.64,black,DISCARD
P070,false,0.06,blue,ACCEPT
P071,false,0.40,pink,ACCEPT
P072,false,0.05,blue,ACCEPT
P073,false,0.87,blue,ACCEPT
P074,false,0.19,blue,ACCEPT
P075,false,0.44,blue,ACCEPT
P076,false,0.30,blue,ACCEPT
P077,false,0.77,blue,DISCARD
P078,false,0.53,blue,DISCARD
P079,false,0.36,blue,ACCEPT
P080,false,0.23,blue,ACCEPT
P081,false,0.70,blue,DISCARD
P082,false,0.30,blue,ACCEPT
P083,false,0.23,blue,ACCEPT
P084,false,0.24,blue,ACCEPT
P085,false,0.22,blue,ACCEPT
P086,false,0.38,blue,ACCEPT
P087,false,0.25,blue,ACCEPT
P088,false,0.25,blue,ACCEPT
P089,false,0.66,blue,DISCARD
P090,false,0.11,black,ACCEPT
P091,false,0.30,pink,ACCEPT
P092,false,0.09,blue,ACCEPT
P093,false,0.16,blue,ACCEPT
P094,false,0.74,blue,DISCARD
P095,false,0.95,blue,ACCEPT
P096,false,0.77,blue,DISCARD
P097,false,0.27,blue,ACCEPT
P098,false,0.27,blue,ACCEPT
P099,true,0.69,pink,DISCARD
P100,false,0.10,blue,ACCEPT
