pill_id,is_cracked,weight,color,workflow_decision
P001,false,0.06,blue,DISCARD
P002,false,0.15,blue,DISCARD
P003,false,0.66,black,DISCARD
P004,false,0.66,blue,DISCARD
P005,false,0.64,blue,DISCARD
P006,false,0.29,red,DISCARD
P007,false,0.63,pink,DISCARD
P008,false,0.53,blue,DISCARD
P009,false,0.33,black,DISCARD
P010,false,0.86,blue,DISCARD
P011,false,0.44,blue,DISCARD
P012,false,0.36,blue,DISCARD
P013,false,0.07,blue,DISCARD
P014,false,0.62,blue,DISCARD
P015,false,0.55,blue,DISCARD
P016,false,0.37,blue,DISCARD
P017,false,0.77,blue,DISCARD
P018,false,0.35,blue,DISCARD
P019,false,0.71,black,DISCARD
P020,false,0.18,black,DISCARD
P021,false,0.07,blue,DISCARD
P022,false,0.87,pink,DISCARD
P023,false,0.31,blue,DISCARD
P024,false,0.20,black,DISCARD
P025,false,0.43,pink,DISCARD
P026,false,0.32,blue,DISCARD
P027,false,0.43,red,DISCARD
P028,false,0.55,blue,DISCARD
P029,false,0.53,yellow,DISCARD
P030,false,0.18,blue,DISCARD
P031,false,0.50,blue,DISCARD
P032,false,0.60,blue,DISCARD
P033,false,0.93,blue,DISCARD
P034,false,0.16,blue,DISCARD
P035,false,0.34,blue,DISCARD
P036,false,0.22,blue,DISCARD
P037,false,0.42,white,DISCARD
P038,false,0.54,blue,DISCARD
P039,false,0.68,blue,DISCARD
P040,false,0.83,blue,DISCARD
P041,false,0.11,blue,DISCARD
P042,false,0.53,red,DISCARD
P043,false,0.19,blue,DISCARD
P044,false,0.85,blue,DISCARD
P045,false,0.69,blue,DISCARD
P046,false,0.67,blue,DISCARD
P047,false,0.64,blue,DISCARD
P048,false,0.92,white,DISCARD
P049,true,0.21,blue,DISCARD
P050,false,0.51,blue,DISCARD
P051,false,0.28,white,DISCARD
P052,false,0.76,white,DISCARD
P053,false,0.61,blue,DISCARD
P054,false,0.28,blue,DISCARD
P055,false,0.38,blue,DISCARD
P056,false,0.20,blue,DISCARD
P057,false,0.22,white,DISCARD
P058,false,0.74,white,DISCARD
P059,false,0.44,blue,DISCARD
P060,false,0.93,white,DISCARD
P061,false,0.65,blue,DISCARD
P062,false,0.46,blue,DISCARD
P063,false,0.32,pink,DISCARD
P064,false,0.49,blue,DISCARD
P065,false,0.39,blue,DISCARD
P066,false,0.20,blue,DISCARD
P067,false,0.58,red,DISCARD
P068,false,0.46,blue,DISCARD
P069,false,0.64,black,DISCARD
P070,false,0.06,blue,DISCARD
P071,false,0.40,pink,DISCARD
P072,false,0.05,blue,DISCARD
P073,false,0.87,blue,DISCARD
P074,false,0.19,blue,DISCARD
P075,false,0.44,blue,DISCARD
P076,false,0.30,blue,DISCARD
P077,false,0.77,blue,DISCARD
P078,false,0.53,blue,DISCARD
P079,false,0.36,blue,DISCARD
P080,false,0.23,blue,DISCARD
P081,false,0.70,blue,DISCARD
P082,false,0.30,blue,DISCARD
P083,false,0.23,blue,DISCARD
P084,false,0.24,blue,DISCARD
P085,false,0.22,blue,DISCARD
P086,false,0.38,blue,DISCARD
P087,false,0.25,blue,DISCARD
P088,false,0.25,blue,DISCARD
P089,false,0.66,blue,DISCARD
P090,false,0.11,black,DISCARD
P091,false,0.30,pink,DISCARD
P092,false,0.09,blue,DISCARD
P093,false,0.16,blue,DISCARD
P094,false,0.74,blue,DISCARD
P095,false,0.95,blue,DISCARD
P096,false,0.77,blue,DISCARD
P097,false,0.27,blue,DISCARD
P098,false,0.27,blue,DISCARD
P099,true,0.69,pink,DISCARD
P100,false,0.10,blue,DISCARD
